x [mm], y [mm], u [m/s], v [m/s]
1.750000000000000000e+02, -9.500000000000000000e+01, 1.073430061340332031e+01, 3.551479429006576538e-02
1.850000000000000000e+02, -9.500000000000000000e+01, 1.076010799407958984e+01, 3.978418558835983276e-02
1.950000000000000000e+02, -9.500000000000000000e+01, 1.085933494567871094e+01, 9.162556380033493042e-03
-1.950000000000000000e+02, -8.500000000000000000e+01, 9.840137481689453125e+00, 3.374695479869842529e-01
-1.850000000000000000e+02, -8.500000000000000000e+01, 9.854084014892578125e+00, 3.155621886253356934e-01
-1.750000000000000000e+02, -8.500000000000000000e+01, 9.899770736694335938e+00, 2.376568913459777832e-01
-1.650000000000000000e+02, -8.500000000000000000e+01, 9.936186790466308594e+00, 1.757314503192901611e-01
-1.550000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -8.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -8.500000000000000000e+01, 1.038907527923583984e+01, -1.028572842478752136e-01
-9.500000000000000000e+01, -8.500000000000000000e+01, 1.062816047668457031e+01, -2.794712781906127930e-03
-8.500000000000000000e+01, -8.500000000000000000e+01, 1.127114391326904297e+01, 2.920848429203033447e-01
-7.500000000000000000e+01, -8.500000000000000000e+01, 1.160649299621582031e+01, 5.078011751174926758e-01
-6.500000000000000000e+01, -8.500000000000000000e+01, 1.176468467712402344e+01, 6.007076501846313477e-01
-5.500000000000000000e+01, -8.500000000000000000e+01, 1.188441371917724609e+01, 6.388984322547912598e-01
-4.500000000000000000e+01, -8.500000000000000000e+01, 1.194544124603271484e+01, 6.290739178657531738e-01
-3.500000000000000000e+01, -8.500000000000000000e+01, 1.191231346130371094e+01, 5.841869711875915527e-01
-2.500000000000000000e+01, -8.500000000000000000e+01, 1.186170768737792969e+01, 5.012484788894653320e-01
-1.500000000000000000e+01, -8.500000000000000000e+01, 1.187540340423583984e+01, 4.120900332927703857e-01
-5.000000000000000000e+00, -8.500000000000000000e+01, 1.180653572082519531e+01, 4.323342442512512207e-01
5.000000000000000000e+00, -8.500000000000000000e+01, 1.116629695892333984e+01, 5.006090998649597168e-01
1.500000000000000000e+01, -8.500000000000000000e+01, 1.057491016387939453e+01, 1.693380922079086304e-01
2.500000000000000000e+01, -8.500000000000000000e+01, 1.053692626953125000e+01, -1.428006887435913086e-01
3.500000000000000000e+01, -8.500000000000000000e+01, 1.045460700988769531e+01, 4.503607749938964844e-02
4.500000000000000000e+01, -8.500000000000000000e+01, 1.032492160797119141e+01, 1.020021587610244751e-01
5.500000000000000000e+01, -8.500000000000000000e+01, 1.030089950561523438e+01, 5.472471565008163452e-02
6.500000000000000000e+01, -8.500000000000000000e+01, 1.046363735198974609e+01, 3.220958113670349121e-01
7.500000000000000000e+01, -8.500000000000000000e+01, 1.056709861755371094e+01, 3.712143003940582275e-01
8.500000000000000000e+01, -8.500000000000000000e+01, 1.059719371795654297e+01, 3.525913655757904053e-01
9.500000000000000000e+01, -8.500000000000000000e+01, 1.057029533386230469e+01, 3.374837338924407959e-01
1.050000000000000000e+02, -8.500000000000000000e+01, 1.054143905639648438e+01, 3.214823603630065918e-01
1.150000000000000000e+02, -8.500000000000000000e+01, 1.040428829193115234e+01, 1.851157397031784058e-01
1.250000000000000000e+02, -8.500000000000000000e+01, 1.019858646392822266e+01, 3.456967324018478394e-02
1.350000000000000000e+02, -8.500000000000000000e+01, 1.014896583557128906e+01, -9.567543864250183105e-03
1.450000000000000000e+02, -8.500000000000000000e+01, 1.032211494445800781e+01, 6.036387383937835693e-02
1.550000000000000000e+02, -8.500000000000000000e+01, 1.047436141967773438e+01, 6.229005008935928345e-02
1.650000000000000000e+02, -8.500000000000000000e+01, 1.069622802734375000e+01, 3.998527303338050842e-03
1.750000000000000000e+02, -8.500000000000000000e+01, 1.096864318847656250e+01, -2.617090940475463867e-02
1.850000000000000000e+02, -8.500000000000000000e+01, 1.085405254364013672e+01, -8.977219462394714355e-03
1.950000000000000000e+02, -8.500000000000000000e+01, 1.076089668273925781e+01, 3.924394398927688599e-02
-1.950000000000000000e+02, -7.500000000000000000e+01, 9.939014434814453125e+00, 1.685878783464431763e-01
-1.850000000000000000e+02, -7.500000000000000000e+01, 9.930504798889160156e+00, 1.936800926923751831e-01
-1.750000000000000000e+02, -7.500000000000000000e+01, 9.907684326171875000e+00, 2.313748002052307129e-01
-1.650000000000000000e+02, -7.500000000000000000e+01, 9.911247253417968750e+00, 2.171944230794906616e-01
-1.550000000000000000e+02, -7.500000000000000000e+01, 9.957464218139648438e+00, 1.449331492185592651e-01
-1.450000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -7.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -7.500000000000000000e+01, 1.035250282287597656e+01, -1.146403700113296509e-01
-9.500000000000000000e+01, -7.500000000000000000e+01, 1.065120315551757812e+01, 7.111286371946334839e-02
-8.500000000000000000e+01, -7.500000000000000000e+01, 1.077585029602050781e+01, 2.420209646224975586e-01
-7.500000000000000000e+01, -7.500000000000000000e+01, 1.086115455627441406e+01, 2.677230536937713623e-01
-6.500000000000000000e+01, -7.500000000000000000e+01, 1.100873184204101562e+01, 2.746770977973937988e-01
-5.500000000000000000e+01, -7.500000000000000000e+01, 1.111024665832519531e+01, 2.945419549942016602e-01
-4.500000000000000000e+01, -7.500000000000000000e+01, 1.118849754333496094e+01, 3.332904577255249023e-01
-3.500000000000000000e+01, -7.500000000000000000e+01, 1.126426124572753906e+01, 3.853385150432586670e-01
-2.500000000000000000e+01, -7.500000000000000000e+01, 1.133318042755126953e+01, 4.253405332565307617e-01
-1.500000000000000000e+01, -7.500000000000000000e+01, 1.137082767486572266e+01, 4.074904918670654297e-01
-5.000000000000000000e+00, -7.500000000000000000e+01, 1.132306861877441406e+01, 3.126622736454010010e-01
5.000000000000000000e+00, -7.500000000000000000e+01, 1.099343681335449219e+01, 1.605959981679916382e-01
1.500000000000000000e+01, -7.500000000000000000e+01, 1.069645118713378906e+01, -5.172503739595413208e-02
2.500000000000000000e+01, -7.500000000000000000e+01, 1.063292312622070312e+01, -1.117303073406219482e-01
3.500000000000000000e+01, -7.500000000000000000e+01, 1.062534332275390625e+01, 5.730283260345458984e-02
4.500000000000000000e+01, -7.500000000000000000e+01, 1.053083896636962891e+01, 1.204735040664672852e-01
5.500000000000000000e+01, -7.500000000000000000e+01, 1.044243144989013672e+01, 8.329916745424270630e-02
6.500000000000000000e+01, -7.500000000000000000e+01, 1.048035144805908203e+01, 1.778355985879898071e-01
7.500000000000000000e+01, -7.500000000000000000e+01, 1.054339599609375000e+01, 2.743929922580718994e-01
8.500000000000000000e+01, -7.500000000000000000e+01, 1.052958488464355469e+01, 2.702977359294891357e-01
9.500000000000000000e+01, -7.500000000000000000e+01, 1.049245834350585938e+01, 2.719748020172119141e-01
1.050000000000000000e+02, -7.500000000000000000e+01, 1.045111846923828125e+01, 2.662118673324584961e-01
1.150000000000000000e+02, -7.500000000000000000e+01, 1.036557674407958984e+01, 1.500803828239440918e-01
1.250000000000000000e+02, -7.500000000000000000e+01, 1.024543762207031250e+01, 4.192879050970077515e-02
1.350000000000000000e+02, -7.500000000000000000e+01, 1.026414012908935547e+01, 2.914638444781303406e-02
1.450000000000000000e+02, -7.500000000000000000e+01, 1.038460731506347656e+01, 5.602830648422241211e-02
1.550000000000000000e+02, -7.500000000000000000e+01, 1.049840736389160156e+01, 6.975771486759185791e-02
1.650000000000000000e+02, -7.500000000000000000e+01, 1.077687454223632812e+01, 7.262247800827026367e-02
1.750000000000000000e+02, -7.500000000000000000e+01, 1.118054580688476562e+01, 1.055798307061195374e-02
1.850000000000000000e+02, -7.500000000000000000e+01, 1.103159427642822266e+01, -9.849809110164642334e-03
1.950000000000000000e+02, -7.500000000000000000e+01, 1.083859539031982422e+01, 6.621042266488075256e-04
-1.950000000000000000e+02, -6.500000000000000000e+01, 1.000528717041015625e+01, 5.698145925998687744e-02
-1.850000000000000000e+02, -6.500000000000000000e+01, 1.001067256927490234e+01, 8.275694400072097778e-02
-1.750000000000000000e+02, -6.500000000000000000e+01, 9.998144149780273438e+00, 1.233796104788780212e-01
-1.650000000000000000e+02, -6.500000000000000000e+01, 9.957098960876464844e+00, 1.754462271928787231e-01
-1.550000000000000000e+02, -6.500000000000000000e+01, 9.949456214904785156e+00, 1.610623002052307129e-01
-1.450000000000000000e+02, -6.500000000000000000e+01, 9.972374916076660156e+00, 1.233511492609977722e-01
-1.350000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -6.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -6.500000000000000000e+01, 1.038798427581787109e+01, -9.399751573801040649e-02
-1.050000000000000000e+02, -6.500000000000000000e+01, 1.012503242492675781e+01, -2.001225650310516357e-01
-9.500000000000000000e+01, -6.500000000000000000e+01, 1.012014389038085938e+01, -9.369400888681411743e-02
-8.500000000000000000e+01, -6.500000000000000000e+01, 1.003583526611328125e+01, -1.005315557122230530e-01
-7.500000000000000000e+01, -6.500000000000000000e+01, 1.012383460998535156e+01, -1.310420930385589600e-01
-6.500000000000000000e+01, -6.500000000000000000e+01, 1.028089332580566406e+01, -1.319214403629302979e-01
-5.500000000000000000e+01, -6.500000000000000000e+01, 1.048620128631591797e+01, -1.090934276580810547e-01
-4.500000000000000000e+01, -6.500000000000000000e+01, 1.068057441711425781e+01, -6.168915331363677979e-02
-3.500000000000000000e+01, -6.500000000000000000e+01, 1.085213661193847656e+01, 7.457311265170574188e-03
-2.500000000000000000e+01, -6.500000000000000000e+01, 1.099847698211669922e+01, 7.890636473894119263e-02
-1.500000000000000000e+01, -6.500000000000000000e+01, 1.110007381439208984e+01, 1.219784915447235107e-01
-5.000000000000000000e+00, -6.500000000000000000e+01, 1.110242366790771484e+01, 1.154662668704986572e-01
5.000000000000000000e+00, -6.500000000000000000e+01, 1.097361469268798828e+01, 3.966307640075683594e-02
1.500000000000000000e+01, -6.500000000000000000e+01, 1.086936473846435547e+01, -4.635307937860488892e-02
2.500000000000000000e+01, -6.500000000000000000e+01, 1.089488983154296875e+01, -1.487287878990173340e-02
3.500000000000000000e+01, -6.500000000000000000e+01, 1.085142707824707031e+01, 1.319639831781387329e-01
4.500000000000000000e+01, -6.500000000000000000e+01, 1.069451904296875000e+01, 1.957957446575164795e-01
5.500000000000000000e+01, -6.500000000000000000e+01, 1.056425189971923828e+01, 1.538499444723129272e-01
6.500000000000000000e+01, -6.500000000000000000e+01, 1.049355030059814453e+01, 1.269840002059936523e-01
7.500000000000000000e+01, -6.500000000000000000e+01, 1.050596046447753906e+01, 2.331547439098358154e-01
8.500000000000000000e+01, -6.500000000000000000e+01, 1.049542522430419922e+01, 2.497196346521377563e-01
9.500000000000000000e+01, -6.500000000000000000e+01, 1.043781089782714844e+01, 2.400963008403778076e-01
1.050000000000000000e+02, -6.500000000000000000e+01, 1.035531616210937500e+01, 2.281263172626495361e-01
1.150000000000000000e+02, -6.500000000000000000e+01, 1.032257175445556641e+01, 1.200756654143333435e-01
1.250000000000000000e+02, -6.500000000000000000e+01, 1.029536056518554688e+01, 4.288563504815101624e-02
1.350000000000000000e+02, -6.500000000000000000e+01, 1.031629657745361328e+01, 2.487454935908317566e-02
1.450000000000000000e+02, -6.500000000000000000e+01, 1.040398120880126953e+01, 2.959849312901496887e-02
1.550000000000000000e+02, -6.500000000000000000e+01, 1.056127166748046875e+01, 4.003567248582839966e-02
1.650000000000000000e+02, -6.500000000000000000e+01, 1.089237117767333984e+01, 7.401956617832183838e-02
1.750000000000000000e+02, -6.500000000000000000e+01, 1.118698596954345703e+01, 1.132139116525650024e-01
1.850000000000000000e+02, -6.500000000000000000e+01, 1.111769962310791016e+01, 1.909618377685546875e-01
1.950000000000000000e+02, -6.500000000000000000e+01, 1.088913249969482422e+01, 5.224694311618804932e-02
-1.950000000000000000e+02, -5.500000000000000000e+01, 9.985076904296875000e+00, 9.045110642910003662e-02
-1.850000000000000000e+02, -5.500000000000000000e+01, 9.996986389160156250e+00, 1.228829026222229004e-01
-1.750000000000000000e+02, -5.500000000000000000e+01, 1.000374221801757812e+01, 1.519822478294372559e-01
-1.650000000000000000e+02, -5.500000000000000000e+01, 9.992838859558105469e+00, 1.804453134536743164e-01
-1.550000000000000000e+02, -5.500000000000000000e+01, 9.942851066589355469e+00, 2.090547680854797363e-01
-1.450000000000000000e+02, -5.500000000000000000e+01, 9.959552764892578125e+00, 1.588566303253173828e-01
-1.350000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -5.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -5.500000000000000000e+01, 9.671789169311523438e+00, -4.286791980266571045e-01
-9.500000000000000000e+01, -5.500000000000000000e+01, 9.522717475891113281e+00, -4.147733151912689209e-01
-8.500000000000000000e+01, -5.500000000000000000e+01, 9.357345581054687500e+00, -4.994041621685028076e-01
-7.500000000000000000e+01, -5.500000000000000000e+01, 9.426985740661621094e+00, -5.491717457771301270e-01
-6.500000000000000000e+01, -5.500000000000000000e+01, 9.696545600891113281e+00, -5.620257854461669922e-01
-5.500000000000000000e+01, -5.500000000000000000e+01, 9.996745109558105469e+00, -5.424892902374267578e-01
-4.500000000000000000e+01, -5.500000000000000000e+01, 1.028958892822265625e+01, -4.864525198936462402e-01
-3.500000000000000000e+01, -5.500000000000000000e+01, 1.054842090606689453e+01, -3.915179967880249023e-01
-2.500000000000000000e+01, -5.500000000000000000e+01, 1.077081775665283203e+01, -2.714773714542388916e-01
-1.500000000000000000e+01, -5.500000000000000000e+01, 1.097240638732910156e+01, -1.525777280330657959e-01
-5.000000000000000000e+00, -5.500000000000000000e+01, 1.114125919342041016e+01, -5.176304280757904053e-02
5.000000000000000000e+00, -5.500000000000000000e+01, 1.121698474884033203e+01, 3.920103609561920166e-02
1.500000000000000000e+01, -5.500000000000000000e+01, 1.118898773193359375e+01, 1.138646900653839111e-01
2.500000000000000000e+01, -5.500000000000000000e+01, 1.112478351593017578e+01, 2.150690406560897827e-01
